DATAFLOW,MEASURE: Measure,SECTOR: Sector of Ownership,WORK_TYPE: Type of work,BUILDING_TYPE: Type of building,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,18624,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,6231,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,5523,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,3140,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,1093,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,1633,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,222,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,42,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,740,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,10928,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,2542,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,3590,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),3: Queensland,M: Monthly,2021-09,2158,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),4: South Australia,M: Monthly,2021-09,928,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),5: Western Australia,M: Monthly,2021-09,1297,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),6: Tasmania,M: Monthly,2021-09,217,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),7: Northern Territory,M: Monthly,2021-09,36,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,110: Houses,LGA2021: Local Government Areas (2021),8: Australian Capital Territory,M: Monthly,2021-09,160,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),0: Australia,M: Monthly,2021-09,3119,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),1: New South Wales,M: Monthly,2021-09,1045,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,"120: Semi-detached, row or terrace houses, townhouses - Total",LGA2021: Local Government Areas (2021),2: Victoria,M: Monthly,2021-09,1033,NUM: Number,0: Units,,
