DATAFLOW,MEASURE: Measure,SECTOR: Sector of Ownership,WORK_TYPE: Type of work,BUILDING_TYPE: Type of building,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13010: Glen Innes Severn (A),M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13310: Goulburn Mulwaree (A),M: Monthly,2021-09,35,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13340: Greater Hume Shire (A),M: Monthly,2021-09,7,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13450: Griffith (C),M: Monthly,2021-09,32,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13550: Gunnedah (A),M: Monthly,2021-09,4,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13660: Gwydir (A),M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13800: Hawkesbury (C),M: Monthly,2021-09,22,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13850: Hay (A),M: Monthly,2021-09,0,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),13910: Hilltops (A),M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),14000: Hornsby (A),M: Monthly,2021-09,32,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),14100: Hunters Hill (A),M: Monthly,2021-09,2,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),14170: Inner West (A),M: Monthly,2021-09,284,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),14220: Inverell (A),M: Monthly,2021-09,3,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),14300: Junee (A),M: Monthly,2021-09,2,NUM: Number,0: Units,,
ABS:BA_LGA2021(1.0.0),1: Number of dwelling units,1: Private Sector,1: New,100: Total Residential,LGA2021: Local Government Areas (2021),14350: Kempsey (A),M: Monthly,2021-09,1,NUM: Number,0: Units,,
