,DATAFLOW,MEASURE,Measure,SECTOR,Sector of Ownership,WORK_TYPE,Type of work,BUILDING_TYPE,Type of building,REGION_TYPE,Region Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
0,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),0,Australia,M,Monthly,Sep-2021,2021-09,18624,NUM,Number,0,Units,,,,
1,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),1,New South Wales,M,Monthly,Sep-2021,2021-09,6231,NUM,Number,0,Units,,,,
2,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),2,Victoria,M,Monthly,Sep-2021,2021-09,5523,NUM,Number,0,Units,,,,
3,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),3,Queensland,M,Monthly,Sep-2021,2021-09,3140,NUM,Number,0,Units,,,,
4,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),4,South Australia,M,Monthly,Sep-2021,2021-09,1093,NUM,Number,0,Units,,,,
5,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),5,Western Australia,M,Monthly,Sep-2021,2021-09,1633,NUM,Number,0,Units,,,,
6,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),6,Tasmania,M,Monthly,Sep-2021,2021-09,222,NUM,Number,0,Units,,,,
7,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),7,Northern Territory,M,Monthly,Sep-2021,2021-09,42,NUM,Number,0,Units,,,,
8,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),8,Australian Capital Territory,M,Monthly,Sep-2021,2021-09,740,NUM,Number,0,Units,,,,
1026,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10050,Albury (C),M,Monthly,Sep-2021,2021-09,39,NUM,Number,0,Units,,,,
1027,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10180,Armidale Regional (A),M,Monthly,Sep-2021,2021-09,4,NUM,Number,0,Units,,,,
1028,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10250,Ballina (A),M,Monthly,Sep-2021,2021-09,7,NUM,Number,0,Units,,,,
1029,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10300,Balranald (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1030,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10470,Bathurst Regional (A),M,Monthly,Sep-2021,2021-09,22,NUM,Number,0,Units,,,,
1031,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10500,Bayside (A),M,Monthly,Sep-2021,2021-09,19,NUM,Number,0,Units,,,,
1032,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10550,Bega Valley (A),M,Monthly,Sep-2021,2021-09,20,NUM,Number,0,Units,,,,
1033,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10600,Bellingen (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
1034,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10650,Berrigan (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1035,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10750,Blacktown (C),M,Monthly,Sep-2021,2021-09,1363,NUM,Number,0,Units,,,,
1036,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10800,Bland (A),M,Monthly,Sep-2021,2021-09,6,NUM,Number,0,Units,,,,
1037,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10850,Blayney (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
1038,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10900,Blue Mountains (C),M,Monthly,Sep-2021,2021-09,14,NUM,Number,0,Units,,,,
1039,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),10950,Bogan (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1040,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11150,Bourke (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1041,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11200,Brewarrina (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1042,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11250,Broken Hill (C),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1043,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11300,Burwood (A),M,Monthly,Sep-2021,2021-09,6,NUM,Number,0,Units,,,,
1044,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11350,Byron (A),M,Monthly,Sep-2021,2021-09,27,NUM,Number,0,Units,,,,
1045,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11400,Cabonne (A),M,Monthly,Sep-2021,2021-09,5,NUM,Number,0,Units,,,,
1046,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11450,Camden (A),M,Monthly,Sep-2021,2021-09,253,NUM,Number,0,Units,,,,
1047,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11500,Campbelltown (C) (NSW),M,Monthly,Sep-2021,2021-09,62,NUM,Number,0,Units,,,,
1048,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11520,Canada Bay (A),M,Monthly,Sep-2021,2021-09,33,NUM,Number,0,Units,,,,
1049,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11570,Canterbury-Bankstown (A),M,Monthly,Sep-2021,2021-09,148,NUM,Number,0,Units,,,,
1050,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11600,Carrathool (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1051,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11650,Central Coast (C) (NSW),M,Monthly,Sep-2021,2021-09,114,NUM,Number,0,Units,,,,
1052,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11700,Central Darling (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1053,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11720,Cessnock (C),M,Monthly,Sep-2021,2021-09,45,NUM,Number,0,Units,,,,
1054,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11730,Clarence Valley (A),M,Monthly,Sep-2021,2021-09,26,NUM,Number,0,Units,,,,
1055,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11750,Cobar (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1056,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),11800,Coffs Harbour (C),M,Monthly,Sep-2021,2021-09,75,NUM,Number,0,Units,,,,
1057,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12000,Coolamon (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1058,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12150,Coonamble (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
1059,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12160,Cootamundra-Gundagai Regional (A),M,Monthly,Sep-2021,2021-09,7,NUM,Number,0,Units,,,,
1060,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12350,Cowra (A),M,Monthly,Sep-2021,2021-09,7,NUM,Number,0,Units,,,,
1061,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12380,Cumberland (A),M,Monthly,Sep-2021,2021-09,57,NUM,Number,0,Units,,,,
1062,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12390,Dubbo Regional (A),M,Monthly,Sep-2021,2021-09,24,NUM,Number,0,Units,,,,
1063,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12700,Dungog (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
1064,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12730,Edward River (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
1065,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12750,Eurobodalla (A),M,Monthly,Sep-2021,2021-09,29,NUM,Number,0,Units,,,,
1066,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12850,Fairfield (C),M,Monthly,Sep-2021,2021-09,91,NUM,Number,0,Units,,,,
1067,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12870,Federation (A),M,Monthly,Sep-2021,2021-09,6,NUM,Number,0,Units,,,,
1068,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12900,Forbes (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
1069,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12930,Georges River (A),M,Monthly,Sep-2021,2021-09,32,NUM,Number,0,Units,,,,
1070,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),12950,Gilgandra (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
6156,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13010,Glen Innes Severn (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
6157,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13310,Goulburn Mulwaree (A),M,Monthly,Sep-2021,2021-09,35,NUM,Number,0,Units,,,,
6158,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13340,Greater Hume Shire (A),M,Monthly,Sep-2021,2021-09,7,NUM,Number,0,Units,,,,
6159,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13450,Griffith (C),M,Monthly,Sep-2021,2021-09,32,NUM,Number,0,Units,,,,
6160,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13550,Gunnedah (A),M,Monthly,Sep-2021,2021-09,4,NUM,Number,0,Units,,,,
6161,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13660,Gwydir (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
6162,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13800,Hawkesbury (C),M,Monthly,Sep-2021,2021-09,22,NUM,Number,0,Units,,,,
6163,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13850,Hay (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
6164,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),13910,Hilltops (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
6165,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14000,Hornsby (A),M,Monthly,Sep-2021,2021-09,32,NUM,Number,0,Units,,,,
6166,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14100,Hunters Hill (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
6167,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14170,Inner West (A),M,Monthly,Sep-2021,2021-09,284,NUM,Number,0,Units,,,,
6168,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14220,Inverell (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
6169,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14300,Junee (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
6170,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14350,Kempsey (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
6171,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14400,Kiama (A),M,Monthly,Sep-2021,2021-09,11,NUM,Number,0,Units,,,,
6172,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14500,Ku-ring-gai (A),M,Monthly,Sep-2021,2021-09,50,NUM,Number,0,Units,,,,
6173,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14550,Kyogle (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
6174,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14600,Lachlan (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
6175,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14650,Lake Macquarie (C),M,Monthly,Sep-2021,2021-09,108,NUM,Number,0,Units,,,,
6176,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14700,Lane Cove (A),M,Monthly,Sep-2021,2021-09,46,NUM,Number,0,Units,,,,
6177,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14750,Leeton (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
6178,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14850,Lismore (C),M,Monthly,Sep-2021,2021-09,9,NUM,Number,0,Units,,,,
6179,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14870,Lithgow (C),M,Monthly,Sep-2021,2021-09,19,NUM,Number,0,Units,,,,
6180,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14900,Liverpool (C),M,Monthly,Sep-2021,2021-09,220,NUM,Number,0,Units,,,,
6181,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14920,Liverpool Plains (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
6182,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),14950,Lockhart (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
6183,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15050,Maitland (C),M,Monthly,Sep-2021,2021-09,92,NUM,Number,0,Units,,,,
6184,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15240,Mid-Coast (A),M,Monthly,Sep-2021,2021-09,43,NUM,Number,0,Units,,,,
6185,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15270,Mid-Western Regional (A),M,Monthly,Sep-2021,2021-09,6,NUM,Number,0,Units,,,,
6186,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15300,Moree Plains (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
6187,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15350,Mosman (A),M,Monthly,Sep-2021,2021-09,4,NUM,Number,0,Units,,,,
6188,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15520,Murray River (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
6189,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15560,Murrumbidgee (A),M,Monthly,Sep-2021,2021-09,0,NUM,Number,0,Units,,,,
6190,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15650,Muswellbrook (A),M,Monthly,Sep-2021,2021-09,4,NUM,Number,0,Units,,,,
6191,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15700,Nambucca Valley (A),M,Monthly,Sep-2021,2021-09,14,NUM,Number,0,Units,,,,
6192,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15750,Narrabri (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
6193,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15800,Narrandera (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
6194,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15850,Narromine (A),M,Monthly,Sep-2021,2021-09,1,NUM,Number,0,Units,,,,
6195,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15900,Newcastle (C),M,Monthly,Sep-2021,2021-09,58,NUM,Number,0,Units,,,,
6196,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15950,North Sydney (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
6197,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,100,Total Residential,LGA2021,Local Government Areas (2021),15990,Northern Beaches (A),M,Monthly,Sep-2021,2021-09,70,NUM,Number,0,Units,,,,
9,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),0,Australia,M,Monthly,Sep-2021,2021-09,10928,NUM,Number,0,Units,,,,
10,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),1,New South Wales,M,Monthly,Sep-2021,2021-09,2542,NUM,Number,0,Units,,,,
11,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),2,Victoria,M,Monthly,Sep-2021,2021-09,3590,NUM,Number,0,Units,,,,
12,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),3,Queensland,M,Monthly,Sep-2021,2021-09,2158,NUM,Number,0,Units,,,,
13,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),4,South Australia,M,Monthly,Sep-2021,2021-09,928,NUM,Number,0,Units,,,,
14,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),5,Western Australia,M,Monthly,Sep-2021,2021-09,1297,NUM,Number,0,Units,,,,
15,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),6,Tasmania,M,Monthly,Sep-2021,2021-09,217,NUM,Number,0,Units,,,,
16,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),7,Northern Territory,M,Monthly,Sep-2021,2021-09,36,NUM,Number,0,Units,,,,
17,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),8,Australian Capital Territory,M,Monthly,Sep-2021,2021-09,160,NUM,Number,0,Units,,,,
1071,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10050,Albury (C),M,Monthly,Sep-2021,2021-09,36,NUM,Number,0,Units,,,,
1072,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10180,Armidale Regional (A),M,Monthly,Sep-2021,2021-09,4,NUM,Number,0,Units,,,,
1073,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10250,Ballina (A),M,Monthly,Sep-2021,2021-09,5,NUM,Number,0,Units,,,,
1074,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10300,Balranald (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1075,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10470,Bathurst Regional (A),M,Monthly,Sep-2021,2021-09,22,NUM,Number,0,Units,,,,
1076,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10500,Bayside (A),M,Monthly,Sep-2021,2021-09,17,NUM,Number,0,Units,,,,
1077,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10550,Bega Valley (A),M,Monthly,Sep-2021,2021-09,18,NUM,Number,0,Units,,,,
1078,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10600,Bellingen (A),M,Monthly,Sep-2021,2021-09,2,NUM,Number,0,Units,,,,
1079,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10650,Berrigan (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
1080,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10750,Blacktown (C),M,Monthly,Sep-2021,2021-09,305,NUM,Number,0,Units,,,,
1081,ABS:BA_LGA2021(1.0.0),1,Total number of dwelling units,1,Private Sector,1,New,110,Houses,LGA2021,Local Government Areas (2021),10800,Bland (A),M,Monthly,Sep-2021,2021-09,3,NUM,Number,0,Units,,,,
